Název;E-mail;Telefon;Kategorie
"Šimčeková Andrea";info@apartmanelegant.sk;"0915 221 314";Ubytovanie
"AV+SV, s.r.o.";ubytovnahumenne@gmail.com;"0918 405 730";Ubytovanie
"Pod Hrebienkom s. r. o.";info@podhrebienkom.sk;"0905 332 122";Ubytovanie
"Ephemeral s. r. o.";ephemeral@ephemeral.sk;"0948 268 781";Ubytovanie
"K 33, s.r.o.";apartmany@viajasna.sk;"02 4463 7324";Ubytovanie
"Kapake s.r.o.";reklama@apartmanykukucin.sk;"0911 892 020";Ubytovanie
"Realys, s.r.o.";rezervacie@rekreacnydomvyhne.sk;"0917 837 950";Ubytovanie
"Šipková Carmen, Mgr.";astra@slovanet.sk;"0904 806 499";Ubytovanie
"Potters - Ing. Anna Hrnčiarová";besenova@apartmanrelax.sk;"0903 807 246";Ubytovanie
"Al - Bo, s.r.o.";bozena.zanova@gmail.com;"0905 350 002";Ubytovanie
"Pepuchová Dagmar";info@vilaprivahu.sk;"044 4392 7450905 131 282 | 044 4392 745";Ubytovanie
"Hurajtová Alexandra";bo.ba@szm.sk;"0908 512 416";Ubytovanie
"Telgárt Services s.r.o.";info@telgartapartmany.sk;"0917 519 923048 6194 131 | 0917 519 923";Ubytovanie
"VIVI STORY s. r. o.";apartmany.zakovce@gmail.com;"0948 094 820";Ubytovanie
"DELTA VK s.r.o.";reservation@donovaly-safran.sk;"0905 844 412";Ubytovanie
"Gerhát Ladislav";gerhat.ladislav@gmail.com;"0905 421 938";Ubytovanie
"ADEX TATRY plus s.r.o.";adextatry@gmail.com;"0903 651 1510903 602 066 | 0903 651 151";Ubytovanie
"Eling B+B, s.r.o.";info@mammut-yetti.sk;"048 4116 4110908 289 5530905 667 617 | 048 4116 411";Ubytovanie
"DIRECT School - Slavomíra Balková";apartmaneywa@apartmaneywa.sk;"0907 140 257";Ubytovanie
"ALPINKA - Jozefína Kučáková";alpinka@alpinka.sk;"0904 624 043";Ubytovanie
"Apartmány Liptov, s.r.o.";recepcia@aliptov.sk;"0907 782 873 | 1205/133";Ubytovanie
"Filadelfi Igor";filaexim@gmail.com;"0905 634 850";Ubytovanie
"Vila Gitka - Margita Durišová";jasna@vilagitka.sk;"044 5591 7000907 120 950 | 044 5591 700";Ubytovanie
"Tatradata s.r.o.";info@motylov.sk;"0907 414 603";Ubytovanie
"PM Max, spol. s r.o.";maxkopcok@zmail.sk;"0905 420 792";Ubytovanie
"Blanár Martin, RNDr.";rezervacia@apartmanlesanka.sk;"0904 308 556";Ubytovanie
"Villa Gardenia s.r.o.";rezervacie@villagardenia.sk;"0901 722 855";Ubytovanie
"Rodinná farma-Nikolaj - Ján Nikolaj";z.nikolajova@centrum.sk;"0918 663 709";Ubytovanie
"MUCHA APARTMENTS, s.r.o.";info@mucha-apartments.sk;"0907 702 007";Ubytovanie
"Drevopal J&F s.r.o.";drevopal@drevopal.eu;"0918 994 654";Ubytovanie
"Hospodárová Klaudia, Mgr.";dusan.hospodar@datagate.sk;"0915 459 989";Ubytovanie
"Challet Jasná s.r.o.";info@challetjasna.sk;"0917 163 868";Ubytovanie
"CENTRAL APARTMANY, s.r.o.";info@centralapartmany.sk;"0948 181 221";Ubytovanie
"INVEST - TATRA s.r.o.";recepcia@hotelpanorama.sk;"0908 888 223";Ubytovanie
"Zaťkov dvor, s. r. o.";zatkovdvor2019@gmail.com;"0948 449 909";Ubytovanie
"Ondrovičová Daniela";penziondaniela@orangemail.sk;"0904 356 961";Ubytovanie
"House, s.r.o.";recepcia@liptovapartments.sk;"044 5514 476 | 1205/133 | 044 562 06 36";Ubytovanie
"VIP INVEST BB, s.r.o.";;"0910 450 295";Ubytovanie
"EUROCEM s.r.o.";kosicerentalapartments@gmail.com;"0910 235 059";Ubytovanie
"VODNÝ HRAD s.r.o.";info@vodnyhradhronsek.sk;"0905 869 772";Ubytovanie
"Relax-Riviéra s.r.o.";info@apartmanyriviera.sk;"0908 519 405907 446 810 | 0908 519 405";Ubytovanie
"Retzerová Tatiana";retzerovt@gmail.com;"0905 557 825";Ubytovanie
"Solum, s.r.o.";solum@solum.sk;"0902 411 111";Ubytovanie
"Artina, s.r.o.";tocikovamartina@gmail.com;"0905 701 054";Ubytovanie
"LUBIA s.r.o.";recepcia@tatragolf.sk;"0948 493 9980948 044 298 | 0948 493 998";Ubytovanie
"Apartmány Skalka s. r. o.";info@skalka-terchova.sk;"0904 660 326";Ubytovanie
"Zovi s.r.o.";janosikovediery@gmail.com;"0905 324 428";Ubytovanie
"Intersped, s.r.o.";apartmany@interspedsro.sk;"0905 716 176 | +421 31 5558 607";Ubytovanie
"APTEM s.r.o.";info@apartmany-terchova.sk;;Ubytovanie
"Faixová Jarmila";ubytovanie@tdm.sk;"0908 662 869";Ubytovanie
"Bocatour, s.r.o.";info@crystaljasna.com;"0905 520 142";Ubytovanie
"Aqua sleep, s.r.o.";aquasleep@aquasleep.sk;"0905 381 863";Ubytovanie
"Ebit s.r.o.";ebit.pp@atlas.sk;"0911 120 672";Ubytovanie
"Apartments BEST s. r. o.";besenovabest@besenovabst.sk;"0948 785 968";Ubytovanie
"Ambiente Serviced Apartments s. r. o.";office@ambiente-apartments.com;"02 3341 8674";Ubytovanie
"Gerendás - Anikó Csomorová";info@vinogerendas.sk;"0915 205 7280908 859 573 | 0915 205 728";Ubytovanie
"DEMÄNOVÁ VILLAGE, s.r.o.";recepcia@demanovarezort.sk;"0918 929 444";Ubytovanie
"Polubňák Ivan";ubytovaniepolubnak@gmail.com;"0904 134 489";Ubytovanie
"HYDROMETAL, spol. s r.o.";hydrometal@centrum.sk;"0907 142 499";Ubytovanie
"1. Ružomberská lyžiarska, a.s.";skipark@skipark.sk;"044 4322 606";Ubytovanie
"BIVAC s.r.o.";reservation@chatasolisko.sk;"0910 719 1930917 655 446 | 0910 719 193";Ubytovanie
"Beliš Tomáš";balu@cementarka.sk;"0911 444 563";Ubytovanie
"Alima, s.r.o.";info@alima.sk;"0903 235 1440905 611 986 | 0903 235 144";Ubytovanie
"Telovýchovná jednota Družba Smrečany - Žiar";skidolinky@gmail.com;"044 5586 343";Ubytovanie
"H&H - Antonín Hroch";chatapodvrskom@gmail.com;"0904 929 9930915 863 341 | 0904 929 993";Ubytovanie
"Škoríková Slavka";ubytovanie@bielaskala.sk;"0903 904 091";Ubytovanie
"VERTIKÁL IAMES - Mgr. Alojz Stahovec";ski.buce@azet.sk;"0905 527 787";Ubytovanie
"Kubík Jozef";smrek.slovensko@gmail.com;"0949 771 859";Ubytovanie
"Ambruš Juraj";jurajambrus@gmail.com;"0905 441 645";Ubytovanie
"Neison - Štefan Poklemba";boss1000@azet.sk;"0905 488 251";Ubytovanie
"FirMax s.r.o.";elteam@orava.sk;"0903 450 482";Ubytovanie
"NOAD s.r.o.";kojsovkaerika@gmail.com;"0911 900 802";Ubytovanie
"Štefaniková Iveta";iveta.karol@zoznam.sk;"0907 158 1280905 170 440 | 0907 158 128";Ubytovanie
"Ski Čertov Javorníky, s.r.o.";info@skicertov.sk;"0907 386 545";Ubytovanie
"B.R.D. spol. s r.o.";zrubmalachov@gmail.com;"0908 934 963";Ubytovanie
"Žuborová Anna";chatalesi@gmail.com;"0903 278 252";Ubytovanie
"REAL MAKLER, s.r.o.";info@zoska.sk;"0905 972 928";Ubytovanie
"Mackovčák Ľuboš";lubos7711@zoznam.sk;"0904 333 313";Ubytovanie
"CK Magura, s.r.o.";chatakubinskahola@gmail.com;"0907 040 826 | 2160/52-94";Ubytovanie
"Leri - Milan Španko";info@apartmanychopok.eu;"0905 232 622";Ubytovanie
"JURsat - Rudolf Jurdík";chata@jezersko.sk;"0905 357 479";Ubytovanie
"Kohár Kamil";ubytovanie_zuberec@atlas.sk;"0903 017 911";Ubytovanie
"Veľká Javorina, s.r.o.";info@holubyhochata.sk;"0903 435 947";Ubytovanie
"Chata Zverovka spol. s r.o.";zverovka@chatazverovka.sk;"043 5395 106043 5395 3270905 973 201 | 043 5395 106 | 043 5395 327";Ubytovanie
"H-Zetiv s.r.o.";chataborinka@chataborinka.sk;"0905 241 860";Ubytovanie
"Drevenice na lúke s.r.o.";kontakt@drevenicenaluke.sk;"0903 420 2200903 463 4640904 894 733 | 0903 420 220";Ubytovanie
"JAMPA - Pavol Mišura";homolka@homolka.sk;"046 5458 1210907 250 468 | 046 5458 121";Ubytovanie
"Výstup Rostislav, Ing.";rv.uh@atlas.cz;"+420 605 938 879";Ubytovanie
"Kamilka s.r.o.";kamilka@kamilka.sk;"0907 802 803";Ubytovanie
"VČIELKA, s.r.o.";;"0905 502 421";Ubytovanie
"Penzion Medvedica s.r.o.";penzionmedvedica@gmail.com;"0948 427 407";Ubytovanie
"Fabricius Igor, Ing.";fabricius@chatamrs.sk;"0904 978 439";Ubytovanie
"Penzión v stráni - Zuzana Kršteníková";myto@domcekvstrani.sk;"0904 102 411";Ubytovanie
"Palušák Radoslav, Ing.";info@chatapohoda.sk;"0903 634 064";Ubytovanie
"CAL, s.r.o.";info@skalkalimba.sk;"0901 752 553";Ubytovanie
"ALEXANDRA WELLNESS HOTEL, s.r.o.";recepcia@alexandrawellnesshotel.sk;"044 2901 000044 5263 320 | 044 2901 000";Ubytovanie
"Chata Čergov, s.r.o.";chatacergov@chatacergov.sk;"0910 281 693";Ubytovanie
"Dubovský Ján";recepcia@chatalucky.sk;"0918 625 008";Ubytovanie
"Drevmak, s.r.o.";drevmakinfo@gmail.com;"0907 250 533";Ubytovanie
"Pittnerová Miriam";miriam@tipnet.sk;"0907 338 871";Ubytovanie
"Horeličanová Alena";a.horelicanova@gmail.com;"0915 832 1890907 197 187 | 0915 832 189";Ubytovanie
"Slušná Elena";elenaslusna@zrublilian.eu;"0948 913 880";Ubytovanie
"Slovenská ovčiarska spoločnosť Ružomberok, a.s.";;"044 4323 185-6";Ubytovanie
"Králik Milan";milankralik@gtsmail.sk;"052 7768 153";Ubytovanie
"H.T.D., spol. s r.o.";info@donovalyhanka.sk;"0905 468 078";Ubytovanie
"TAJOMNÉ KARPATY, s.r.o.";info@tajomnekarpaty.sk;"0903 048 2630949 852 904 | 0903 048 263";Ubytovanie
"Chaty Tatra s.r.o.";sonia@chaty-tatra.com;"0911 867 7860902 555 653 | 0911 867 786";Ubytovanie
"Pisarčíková Anna";annapisarcikova@gmail.com;"0902 178 051";Ubytovanie
"Šályová Emília";salyova@zoznam.sk;"0902 688 778";Ubytovanie
"Ondraský Jozef, Ing.";ondrasky@chatamartinskehole.sk;"0905 661 441 | 043 4135 219";Ubytovanie
"Rezbárska spoločnosť - Martin Barnáš";mb@rezbar.sk;"0905 315 658";Ubytovanie
"Mičová Eva";restaurant@janosikovakoliba.sk;"041 5695 110041 5695 487 | 041 5695 110";Ubytovanie
"Kamienka s.r.o.";kamienka@kamennachata.sk;"048 6170 039";Ubytovanie
"R.a.G. - Róbert Gajdoš";info@chata-kminek.sk;"0905 815 190";Ubytovanie
"Art-ins - MVDr. Helena Chladná";tasniar@tasniar.sk;"0907 121 917";Ubytovanie
"Jánošíkov dvor s. r. o.";rezervacie@janosikovdvor.sk;"0907 826 250";Ubytovanie
"NHT, s. r. o.";nht.sro@gmail.com;"0905 657 515";Ubytovanie
"Panták Róbert";info@chatasipkova.eu;"0904 366 2060903 973 600 | 0904 366 206";Ubytovanie
"Gryga Jozef";jozefgryga@gmail.com;"0908 619 530";Ubytovanie
"Krečmerová Tatiana";chatacertov@chatacertov.sk;"0908 756 304";Ubytovanie
"MT GASTRO, s.r.o.";dobra@domasa.sk;"0903 634 670";Ubytovanie
"Lurist-Invest, s.r.o.";info@chataastoria.sk;"0903 644 745";Ubytovanie
"Mináriková Kvetoslava";vilabobrik@gmail.com;"0908 220 213";Ubytovanie
"Habán Igor";chatamaria@chatamaria.sk;"0905 432 866";Ubytovanie
"BJ Int. s.r.o.";regetovka@cactus.sk;"0904 844 446";Ubytovanie
"Acomo, s.r.o.";vlad37o@isternet.sk;"0905 547 052";Ubytovanie
"Maniak Ľubomír";maniak@rajec.net;"041 5493 287";Ubytovanie
"AUREUS SLOVAKIA, spol. s r.o.";bocanskechalupky@gmail.com;"0904 262 829";Ubytovanie
"Krajňak Tatiana";;"0905 962 155";Ubytovanie
"Privát u Jany - Jana Pitoňáková";janina87@centrum.sk;"0907 031 638";Ubytovanie
"Barteková Emilie";kontakt@chataluna.info;"0911 625 557042 4632 531 | 0911 625 557";Ubytovanie
"Pit Stop - Peter Belanec";info@pitstop.sk;"0910 918 882";Ubytovanie
"Apstel s. r. o.";;"0949 450 190";Ubytovanie
"DUNAJEC - TOUR - Ladislav Simoník";info@goralskydvor.sk;"0905 389 413";Ubytovanie
"Liptovské dvory, s.r.o.";info@liptovskydvor.sk;"0918 683 123";Ubytovanie
"Šlechta Pavol";lubica.slechtova@gmail.com;"0915 360 539";Ubytovanie
"Chrapčiaková Zuzana, Ing.";info@chatauhorcik.sk;"0905 462 076 | +421 905 861 385 | +421 41 562 5965";Ubytovanie
"V.R.M., s.r.o.";chatazahradky@chatazahradky.sk;"044 5591 4660905474595 | 044 5591 466";Ubytovanie
"D.J.D., spol. s r.o.";info@richnavapark.sk;"0908 500 174 | 1000-1005";Ubytovanie
"PK, s.r.o.";chata@koziar.sk;"0907 877 258";Ubytovanie
"PENZIÓN BOROVEC - Emil Hruboš";penzionborovec@gmail.com;"0903 622 9080902 405 622 | 0903 622 908";Ubytovanie
"Jastrabík Pavol";info@ujastraba.sk;"0915 813 376";Ubytovanie
"Rajská Anna";info@holidayraj.sk;"0905 616 1360911 616 136 | 0905 616 136";Ubytovanie
"Buznová Anežka";chata.lazany@szm.sk;"0903 758 2270903 529 034 | 0903 758 227";Ubytovanie
"JUMOD trade, s. r. o.";jaromir.cervenka@gmail.com;"0905 537 376";Ubytovanie
"ORION - Jozef Kopta";info@chataoravice.eu;"0948 104 611";Ubytovanie
"X-TEAM SLOVAKIA, s.r.o.";info@teambuilding.sk;"0911 717 090";Ubytovanie
"Hesom - Miroslav Hurajt";hurajt@strba.sk;"0903 636 8680902 489 343 | 0903 636 868";Ubytovanie
"KOLIBA RIEČKY s.r.o.";;"045 3810 1200948 290 140 | 045 3810 120";Ubytovanie
"BIOAGRO Mýto, spol. s r.o.";info@chatazinka.sk;;Ubytovanie
"IPSEA s.r.o.";;"0907 376 999";Ubytovanie
"Hrubošová Emília";hrubosova2@post.sk;"0903 223 806";Ubytovanie
"Pustaj Stanislav";pustaj.s@centrum.sk;"0908 941 553";Ubytovanie
"Kubas Stanislav";kubada@centrum.sk;"0910 530 007";Ubytovanie
"Lyžiarske stredisko RACIBOR s.r.o.";racibor@centrum.sk;"0911 838 9860901 733 516 | 0911 838 986";Ubytovanie
"Fusko Tomáš, Mgr.";info@pucovachata.sk;"0903 155 556";Ubytovanie
"pod Gýmešom s.r.o.";podgymesom@gmail.com;"0905 334 432";Ubytovanie
"Maga Jaroslav";mediaslav@gmail.com;"0903 396 026";Ubytovanie
"Roľnícke družstvo Liptovská Kokava";velkachata@chatapodbanske.sk;"0905 971 3600905 971 360 | 0905 971 360 | 00195600";Ubytovanie
"Kičin Martin";rezervacie@chatabacovaskala.sk;"0918 323 839";Ubytovanie
"Tmák Pavol";;"0904 149 515";Ubytovanie
"JJ+D s.r.o.";bungalovyprimlyne@gmail.com;"0905 518 5790907 135 035 | 0905 518 579";Ubytovanie
"Hubcej Ján, Mgr.";hubcej@hubcej-plte.sk;"0905 359 473";Ubytovanie
"LG4Y, s. r. o.";chatavrsky@gmail.com;"0907 148 190";Ubytovanie
"Kostelanský Andrej, Ing.";info@ubytovanie-podbanske.sk;"0918 572 822";Ubytovanie
"Urbárska spoločnosť, pozemkové spoločenstvo Sučany";info@urbarsucany.sk;"0905 584 605";Ubytovanie
