Název;E-mail;Telefon
"DOPRASTAV SERVICES, s. r. o.";rezervacie@doprastavservices.sk;"0907 801 965"
"G - 5 COMPANY, s.r.o.";atrium@hotel-malacky.sk;"034 7723 161"
"SVOMI-TRADING s.r.o.";svomi-trading@seznam.cz;"420 777 | 945 625+420 | 604 507 030 | 945 625 | 420 604 | 507 030"
"GRAPA - Šikyňa, s. r. o.";grapa@grapa.sk;"0905 505 043"
"ProDante.cz s.r.o.";ubytovna@prodante.cz;"420 596 | 237 924 | 04640471"
"Moravia Park s.r.o.";info@moraviapark.sk;"0917 183 764 | 0915 214 211"
"Telovýchovná jednota Tatran Ľubica, Športová 1100/82, 059 71 Ľubica";pkapral@azet.sk;"0905 493 197 | 00892165"
"J-C - Jaroslav Čavoj";;"0918 660 219"
"Petrík Viliam";info@ubytovanielomnica.com;"0910 988 226"
"AGES s.r.o.";info@ubytovnakysuce.sk;"0948 747 457"
"Turček Dezider, Ing.";rozkvet@dturcek.sk;"036 6332 244 | 0902 917 110 | 0903 755 451"
"Asik, s.r.o.";asik@asik.sk;"044 5549 234"
"HS Servis s.r.o. Košice";ubytovnahviezda@gmail.com;"0903 117 804"
"Tevel, s.r.o.";;"044 5522 414"
"Slovport BTS, s.r.o.";;"0905 325 362 | 02 4342 2123"
"Dendiš Jozef";dendisovakrupina@gmail.com;"0908 904 039"
"Tavros a.s.";info-tavros@mail.viapvt.sk;"041 7634 129"
"1. Ubytovňa Bratislava, s.r.o.";info@ubytovnavbratislave.sk;"0905 623 992"
"PACAK s.r.o.";pacak@pacak.sk;"0903 608 830 | 0904 645 611 | 053 4299 180 | 053 4299 181"
"SAD, s.r.o.";narva@narva.sk;"048 6713 666 | 048 6713 627"
"Montana, spol. s r.o.";klopacka@klopacka.sk;"0905 527 892"
"Tatrak, s.r.o.";;"02 6477 0701"
"Pemino - Peter Novák";pemino@pemino.sk;"0905 603 725"
"Šnajnar Branislav";ubytovanieba@gmail.com;"0915 717 358"
"Ubytovňa DOMOV, s.r.o.";ubytovna.domov@gmail.com;"0911 756 244"
"Profi Modul spol. s r.o.";profimodul@profimodul.sk;"0911 280 465 | 02 446 32 399"
"SINEKO s.r.o.";sineko@sineko.sk;"0911 961 317 | 0903 438 690"
"SPECTRUM GROUP, a.s.";rezervacie@hostelagat.com;"0948 007 088"
"ALRENT.SK s. r. o.";ubytovna@alrent.sk;"0911 794 478"
"LC Logistik s.r.o.";centrum@centrum-sturovo.sk;"0908 099 025"
"Kosodrevina, s.r.o.";chatakosodrevina@gmail.com;"0905 516 519"
"Rolis, s.r.o.";lsokolova@ubytovnarolis.sk;"0902 863 870"
"Leo Industrial Park Corporation, s.r.o.";info@leoreality.sk;"0915 664 488 | 0918 111 999"
"YORD, s.r.o.";ubytovanie@shb.sk;"0911 578 999"
"Chylková Alena";kopackadk@zoznam.sk;"043 5863 595 | 0905 203 202"
"ZAMPRAD - Milan Detko";zamprad@zamprad.sk;"0903 493 192"
"K-ONE REAL s.r.o.";ubytovanie.lamac.recepcia@gmail.com;"0948 776 301"
"Korchy, spol. s r.o.";agentura69@centrum.sk;"0903 266 652 | 0903 766 722"
"EXREAL s.r.o.";ubytovanie@exreal.sk;"02 4552 5062"
"BAREPO s.r.o.";;"0905 836 642 | 045 5369 432 | 045 5369 433"
"Křesťanský domov mládeže a školní jídelna u sv. Ludmily, s.r.o.";hostel@kdm.cz;"420 721 | 041 736+420 | 720 964 074 | 041 736 | 420 720 | 964 074"
"KPM Invest s.r.o.";servis@rapidpneu.sk;"0902 299 073 | 0902 299 686"
"NIREAL, s.r.o.";nr@ubytovnaprima.sk;"02 3310 4403"
"Hocker s.r.o.";3h@3h.sk;"041 5254 868"
"Pozemkové spoločenstvo urbarialistov v Batizovciach";urbarbatizovce@vsetko.sk;"0905 466 581"
"Eurohous 2006 s.r.o.";;"02 4445 2235"
"Slovak Hostel, s.r.o.";booking@patiohostel.com;"02 5292 5797"
"Školský internát Považská 7, Košice";sipovke@sipovke.sk;"055 6433 886 | 055 6441 405 | 00606821"
"Jagy, s.r.o.";milan.jagelka@gmail.com;"0905 560 576"
"Gimax Logistics s. r. o.";rezervacie@ubytovnasisi.sk;"0949 406 576"
"Bočinec Jozef";info@ubytovanie-ika.sk;"0905 639 003"
"Unisono, s.r.o.";;"051 4572 523"
"Manzo, s.r.o.";info@ubytovanie-skalica.sk;"0918 962 046"
