Název;E-mail;Telefon
"Warcun, a. s.";info@hotelamade.sk;"0918 620 498 | 0918 620 493"
"Kaffex, s.r.o.";kanc@tatry-toliar.sk;"052 4781 011"
"Syrmex International, spol. s r.o.";info@hotelsun.sk;"02 2020 1020 | 0905 787 000 | 0917 787 000"
"Somora Milan";hotelstudnicka@hotelstudnicka.sk;"043 5522 111"
"Barančia, s.r.o.";fuggerov.dvor@gmail.com;"048 4181 399"
"3 art, s.r.o.";mlyncekova@proprieta.sk;"0948 018 811"
"Vienna DC, a.s.";info@vinoruban.sk;"0915 432 001"
"SP GATE s. r. o.";reservation@hotelsolisko.sk;"0910 719 193 | 0904 462 800"
"Premium Star Hotels, a.s.";congress@primestarhotels.com;
"INVEST - TATRA s.r.o.";recepcia@hotelpanorama.sk;"0908 888 223"
"ALEXANDRA WELLNESS HOTEL, s.r.o.";recepcia@alexandrawellnesshotel.sk;"044 2901 000 | 044 5263 320"
"Smart Business Group, s. r. o.";recepcia@hotelsmokovec.eu;"052 2601 047"
"Grand hotel Permon, s.r.o.";hotelpermon@hotelpermon.sk;"052 4710 111 | 0914 330 033"
"Hotel Start Jičín, s.r.o.";recepce@hotelrestart.cz;"420 498 | 019 400"
"PALACE HOTEL PEZINOK, s.r.o.";hotel@zamokpezinok.sk;"033 7989 001"
"ZÁMOK VIGĽAŠ s. r. o.";recepcia@grandviglas.com;"045 5245 795 | 045 5245 796"
"Diona s.r.o.";hotel@kaskada.sk;"046 5183 010"
"Aqua - Trans, spol. s r.o.";info@hotel-relax.sk;"0902 032 032 | 041 5493 583"
"GOEX, s.r.o.";info@hotelkoncista.sk;"052 4468 496"
"Hotel FLÓRA Dudince, s.r.o.";recepcia@floradudince.sk;"045 5583 132 | 0910 955 070"
"Orchid, s.r.o.";hotelorchidea@hotelorchidea.sk;"031 5919 | 001-209 | 05 659 5370 | 911 722 011 | 031 5919 00 | 1-2 | 031 591 9010"
"Primula, s.r.o.";primula@primula.sk;"0903 554 229 | 0911 554 231"
"Remeslo Termál, s.r.o.";recepcia@termalvyhne.sk;"0918 570 455"
"Orava-Prístav MP, s.r.o.";info@lodorava.sk;"0915 135 537 | 0907 237 907, hotel | 0907 237 907"
"Aspect-Vyhne, a.s.";info@hotelsitno.sk;"0908 920 016 | 045 6772 292"
"ViOn, a.s.";recepcia@hotelvion.eu;"037 6403 311"
"Gastro - Pen s.r.o.";mail@hotelkarpatskydvor.sk;"02 6596 8124"
"Hotel ALTIS s.r.o.";recepcia@hotelaltis.sk;"043 5832 600 | 0911 394 747"
"MALIEB, s.r.o.";habovka@julianindvor.sk;"043 5821 023 | 0911 655 955"
"DIERY Rezort s. r. o.";info@hotel-diery.sk;"041 5695 323"
"Bokada, a.s.";info@hotelamade.sk;"0918 620 498"
"HOTEL PARTIZÁN, s.r.o.";partizan@partizan.sk;"048 6308 814"
"Štefan Píri PÍRI TRANS s.r.o.";;"036 7491 433"
"Metronex, s.r.o.";kamei@kamei.sk;"057 7682 605"
"HAULIT s.r.o.";lesana@lesana.sk;"052 4467 861 | 0915 898 141"
"Gamma Invest, s.r.o.";hotel@altenberg.sk;"048 4199 200 | 421 48 4 | 19 92 03"
"Palinsky & Co., spol. s r.o.";salas.sirava@gmail.com;"056 6492 120"
"Tbest, s. r. o.";recepcia@hotelarman.sk;"0902 991 005"
"AQUAPARK Poprad, s.r.o.";info@aquacity.sk;"052 7851 111 | 052 7851 508"
"M.J.M.A.N. s. r. o.";recepcia@hotel-nezabudka.sk;"0918 899 518"
"Sport Hoteling, spol. s r.o.";sportcentrum@sportcentrum.sk;"046 5121 444"
"Čingov Tour, spol. s r.o.";hotelcingov@hotelcingov.sk;"053 4433 633 | 053 4433 630"
"IMET, a.s.";tec.ke@imet.sk;"055 6780 827 | 047 2852 200"
"Hotel Bankov, a.s.";reception@hotelbankov.sk;"055 6324 522"
"STRUO, s.r.o.";rezervacie@zelenalaguna.sk;"0915 930 345"
"FORT s.r.o.";info@hotel-lesanka.sk;"0917 792 702"
"Herbar, s.r.o.";info@bellevuehotel.sk;"054 4728 404 | 421 54 4 | 72 84 09"
"Alexandra Šport Hotel, s.r.o.";recepcia@alexandrasporthotel.sk;"042 4631 451"
"THERMA, a.s.";rezervacie@therma.sk;"0917 616 161"
"Zoš s.r.o.";hotel@hotelgoral.sk;"043 5522 269"
"MIRAJ, s.r.o.";recepcia@miraj.sk;"047 3337 103"
"Hotel Hviezda, s.r.o.";recepcia@hviezda-dudince.sk;"045 5583 231 | 045 5583 232"
"SIRS - Development, a.s.";recepcia@hotelslovakia.sk;"041 5124 111"
"Palace, a.s.";parkhotel@palacehotels.sk;"032 6556 868 | 421 32 6 | 55 12 60"
"Velický zámoček Tatry, s.r.o.";velickyzamocek@slovanet.sk;"0903 731 333"
"Hotel Gladius, s.r.o.";hotelgladius@azet.sk;"0917 550 185 | 0315582134"
"Finerg International, s.r.o.";info@hotellesna.sk;"052 4467 461"
"ROAN JOVSA s.r.o.";andrejcova235@gmail.com;"0918 114 222"
"AKOBA s.r.o.";vratna@hotelgold.sk;"0915 150 905"
"Grapent a.s.";recepcia@hzch.sk;"033 2633 300 | 033 2633 307"
"Dobre a zdravo a.s.";recepcia@hoteljason.sk;"0904 549 724 | 042 4465 077"
"Sojka s.r.o.";hotel@sojka.eu;"044 5475 656 | 0948 044 391 | 044 5475 699"
"Hotel Jantár Dudince, s.r.o.";hoteljantar@hoteljantar.sk;"045 5583 061"
"Kuprum s.r.o.";hotelgala@hotelgala.sk;"048 4188 550"
"Daro Slovakia s.r.o.";daro@daro.sk;"045 6813 452 | 045 6813 453"
"MTM-Mikulčík s.r.o.";hotelkralova@hotelkralova.sk;"0905 298 312"
"DUEBI, s.r.o.";hotelamalia@hotelamalia.sk;"052 4780 110"
"Budzák Ján";hotelruzbachy@hotelruzbachy.sk;"052 4398 170"
"Rezníček a spol. s.r.o.";recepcia@hotelcosmopolitan.sk;"02 4592 4339 | 0903 737 383"
"TP Hotel Družba, s.r.o.";hotel@tphoteldruzba.sk;"02 4591 5391"
"Wellness Invest, a. s.";rezervacie@wellnesspatince.sk;"0917 654 875 | 0918 886 715"
"MASTAB HOTELs s.r.o.";info@hotelseverka.sk;"041 4344 355"
"IK GRADE spol. s.r.o.";lomnistahotel@gmail.com;"0905 976 506"
"FIMEX s.r.o.";recepcia@resorthanuliak.sk;"041 7078 901"
"Himex, a.s.";recepcia@hotelzatoka.sk;"02 4592 2501"
"HVT, s.r.o.";marketing@hotelmineral.sk;"045 5506 001"
"TATREE bar & restaurant, s. r. o.";recepcia@hotel-hubert.sk;"052 4780 811"
"HOTEL SUN, s. r. o.";info@hotelsun.sk;"02 2020 1020"
"GASTROSIMA, s.r.o.";velickyzamocek@slovanet.sk;"0903 731 333 | 0905 353 912 | 0911 549 290"
"Zerrenpach s.r.o.";manager@zerrenpach.sk;"0903 201 772 | 0903 201 778"
"A.N.E.S., a.s.";info@santovkawellness.sk;"036 3810 631"
"MEDOS VARGA, spol. s r.o.";recepcia@hotelelenka.sk;"0915 813 833"
"SKI SKI s.r.o.";recepcia@hoteleuforia.sk;"0911 717 775"
"DIXON RESORT - MUDr. Juraj Sninský";recepcia@dixon.sk;"048 4717 800"
"RaMarti s. r. o.";hotelgader@hotelgader.eu;"043 4948106"
"Tyrapol, spol. s r.o.";hotel@tyrapol.sk;"043 5593 152 | 043 5593 142"
"Agromäso, družstvo";hotelbystricka@gmail.com;"043 4385 277 | 043 4003 009"
"Dirmat, s.r.o.";kolonial@hotelkolonial.sk;"041 4376 405"
"GRAND HOTEL BELLEVUE, a.s.";hotelbellevue@hotelbellevue.sk;"052 4762 111 | 052 4422 719"
"Ponteo s.r.o.";info@ponteo.sk;"02 2090 9017"
"Pal-Mar s.r.o.";ubytovanie@hotelgula.sk;"0905 226 534"
"HP TRONIC, s.r.o.";rezervace@valachy.cz;"420 571 | 477 300+420 | 571 495 500 | 477 300 | 495 500"
"PRI MLYNE HOTEL A RESTAURANT s.r.o.";rezervacie@primlyne.sk;"02 6029 7611"
"Country Saloon Belá, s.r.o.";country@countrybela.sk;"041 5693 621 | 0918 940 403"
"MABOM s.r.o.";recepcia@hotelrelax.sk;"0911 092 704 | 0911 623 265"
"MOUNTAIN GATE Suites & Spa, s. r. o.";recepcia@hotelsport.sk;"0902 898 900 | 048 4299 020"
"PROPERTY HOLDING, a.s.";recepcia@hotelchopok.sk;"044 5591 488"
"Hotel Senec a.s.";recepcia@hotelsenec.sk;"02 4592 7255"
"Termal DS, s.r.o.";info@strehova.sk;"047 4308 811"
"SILVER SPOON s.r.o.";reservation@hotelslovan.sk;
"BAD, s.r.o.";rezervacie@hotelkaskady.sk;"045 5300 026"
"PLAUTER, s.r.o.";info@plauterkuria.sk;"0917 232 545"
"Brecko Ján";info@hotelmerkur.sk;"056 6492 379"
"Hotel Prameň Dudince s. r. o.";info.pramen@gmail.com;"045 5244 100 | 0915 532 513"
"Dam Hotel, s.r.o.";hotel@hoteldam.sk;"055 6961 301"
"Kúpeľno-rehabilitačný ústav Ministerstva vnútra SR Bystrá";info@krubystra.sk;"044 5263 201 | 044 5263 196 | 00735540"
"Marlene s. r. o.";marlene@marlene.sk;"041 4382 732 | 041 4382 733"
"MTF Hotel, s.r.o.";info@hotelmontfort.sk;"052 7895 622"
"Zemplínska šírava, s.r.o.";info@thermalsirava.sk;"0940 600 944"
"Chudá Renáta, Ing.";marketing@polianka.sk;"0908 676 144"
"Hotel Eurobus s.r.o.";recepcia@hoteleurobus.sk;"056 6492 129 | 0908 783 632"
"PARKHOTEL na Baračke, s. r. o.";recepcia@parkhotelnabaracke.sk;"0905 656 868"
"KORYTKO - Milan Korytko";studnicky@hoteldargov.sk;"056 6783 799"
"Ekostavby, s.r.o.";tartuf@tartuf.sk;"037 6330 680"
"Kimex Group, s.r.o.";oravskyhaj@oravskyhaj.sk;"043 5393 781"
"GOLF INTERNATIONAL, s.r.o.";international@golfinter.sk;"052 4661 111"
"TENIS CENTRUM, s.r.o.";info@hoteltenis.sk;"0915 988 811 | 045 5322 373 | 045 5322 369"
"Centrál s.r.o.";termal@remeslo.com;"045 6787 611 | 045 678 76 66"
"Kaskády, s.r.o.";recepcia@kaskady.sk;"031 7883 333"
"PPA Invest s.r.o.";recepcia@amresort.sk;"0911 854 304"
"PERLA - Zelená Voda, s.r.o.";hotel@hotelperla.sk;"032 7713 903 | 0911 724 325"
"PRO GLOBAL, s.r.o.";recepcia@hoteldomasa.sk;"057 4494 274 | 0908 854 807"
"Mores Resort, a. s.";reception@hotellomnica.sk;"052 2853 500"
